,user_id,subscription_type,user_journey
132,289359,Monthly,Career tracks-Career track certificate-Career tracks-Career track certificate-Pricing-Career track certificate-Homepage-Pricing-Log in-Career tracks-Log in-Checkout
133,289370,Monthly,Log in-Courses-Log in-Courses-Homepage-Courses-Log in-Homepage-Log in-Checkout-Log in-Sign up-Log in-Sign up-Log in-Sign up-Checkout-Log in-Sign up-Log in-Sign up-Checkout-Log in-Checkout-Log in-Checkout-Log in-Checkout-Log in-Sign up-Log in-Homepage-Sign up-Checkout
134,289379,Quarterly,Log in-Courses-Homepage-Courses-Log in-Sign up-Courses-Sign up-Courses-Homepage-Courses-Checkout
135,289748,Annualy,Log in-Coupon-Checkout-Coupon-Checkout-Coupon-Checkout
136,289919,Monthly,Resource center-Pricing-Resource center-Pricing-Log in-Checkout
137,289988,Monthly,Courses-Pricing-Courses-Log in-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Log in-Sign up-Courses-Sign up-Log in-Homepage-Log in-Checkout
138,290258,Monthly,Log in-Success stories-Resource center-Success stories-Resource center-Other-Resource center-Checkout-Coupon
139,290289,Monthly,Log in-Sign up-Log in-Other-Sign up-Log in-Other-Log in-Homepage-Log in-Checkout
140,290527,Annualy,Log in-Other-Checkout
141,291012,Monthly,Log in-Checkout-Career tracks-Homepage-Career tracks-Log in-Homepage-Pricing-Log in-Homepage-Pricing-Homepage-Log in-Homepage-Log in-Other-Log in-Checkout
142,291100,Monthly,Log in-Homepage-Log in
143,291598,Annualy,Homepage-Pricing-Homepage-Pricing-Log in-Homepage-Log in-Homepage-Pricing-Log in-Homepage-Log in-Coupon
144,291921,Annualy,Homepage-Pricing-Checkout-Career tracks-Sign up-Career tracks-Career track certificate-Career tracks-Sign up-Career track certificate-Career tracks-Career track certificate-Sign up-Career track certificate-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Career track certificate-Career tracks-Career track certificate-Course certificate-Career track certificate-Course certificate-Other-Career track certificate-Course certificate-Career track certificate-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Pricing-Career track certificate-Pricing-Log in-Homepage-Pricing-Homepage-Pricing-Checkout-Homepage-Pricing-Homepage-Pricing-Career tracks-Pricing-Career tracks-Log in-Career track certificate-Log in-Career track certificate-Sign up-Checkout
145,292469,Annualy,Log in-Checkout-Log in-Homepage-Log in-Checkout
146,292620,Annualy,Career track certificate-Homepage-Career track certificate-Sign up-Career track certificate-Sign up-Career track certificate-Homepage-Career track certificate-Checkout
147,292886,Annualy,Sign up-Courses-Sign up-Checkout
148,293325,Annualy,Career tracks-Courses-Career track certificate-Course certificate-Career track certificate-Course certificate-Other-Course certificate-Coupon-Checkout
149,293572,Annualy,Coupon
150,293945,Annualy,Resource center-Other-Coupon
151,294116,Monthly,Homepage-Pricing-Checkout-Pricing-Checkout-Career tracks-Pricing-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Courses-Homepage
152,294736,Annualy,Homepage-Courses-Homepage-Pricing-Courses-Homepage-Pricing-Career tracks-Courses-Resource center-Other-Resource center-Other-Resource center-Career tracks-Resource center-Career tracks-Pricing-Career tracks-Pricing-Career track certificate-Pricing-Career track certificate-Homepage-Career track certificate-Log in-Resource center-Log in-Sign up-Log in-Homepage-Sign up-Checkout-Log in-Homepage-Log in-Sign up-Log in-Homepage-Sign up-Checkout
153,295049,Annualy,Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Career track certificate-Courses-Pricing-Homepage-Other-Homepage-Other-Courses-Homepage-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Courses-Career tracks-Courses-Career tracks-Sign up-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Other-Career track certificate-Coupon-Log in-Other-Log in-Homepage-Log in-Checkout
154,295174,Monthly,Log in-Homepage-Log in-Pricing-Checkout-Homepage-Pricing-Log in-Courses-Log in-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Checkout-Homepage-Log in-Course certificate-Log in-Course certificate-Homepage-Course certificate-Homepage-Course certificate-Checkout
155,295176,Annualy,Log in-Other-Log in-Other-Log in-Homepage-Log in-Checkout
156,295682,Annualy,Log in-Homepage-Log in-Checkout-Log in-Pricing-Checkout-Log in-Checkout
157,296305,Annualy,Resource center-Other-Resource center-Homepage-Resource center-Other-Resource center-Other
158,296352,Annualy,Coupon
159,296465,Monthly,Log in-Homepage-Log in-Homepage-Log in-Checkout
160,296546,Monthly,Log in-Checkout
161,296653,Annualy,Log in-Courses-Log in-Coupon
162,296961,Annualy,Sign up-Log in-Homepage-Log in-Checkout
163,296983,Annualy,Log in-Homepage-Log in-Course certificate-Homepage-Course certificate-Log in-Homepage-Log in-Checkout
164,297835,Monthly,Sign up-Log in-Pricing-Sign up-Homepage-Pricing-Checkout
165,297962,Monthly,Log in-Checkout
166,298464,Annualy,Coupon
167,299103,Annualy,Sign up-Career tracks-Sign up-Career tracks-Courses-Career tracks-Log in-Sign up-Log in-Sign up-Log in-Sign up-Coupon
168,299675,Annualy,Log in-Coupon
169,300455,Monthly,Courses-Homepage-Courses-Sign up-Career tracks-Sign up-Career tracks-Homepage-Career tracks-Sign up-Homepage-Sign up-Pricing-Checkout-Pricing-Checkout-Homepage-Pricing-Homepage-Pricing-Courses-Homepage-Courses-Log in-Sign up-Pricing-Sign up-Homepage-Pricing-Courses-Log in-Courses-Pricing-Courses-Homepage-Pricing-Log in-Courses-Log in-Career track certificate-Courses-Career track certificate-Courses-Career track certificate-Courses-Pricing-Courses-Homepage-Pricing-Homepage-Sign up-Log in-Career tracks-Resource center-Career tracks-Homepage-Resource center-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Log in-Other-Checkout
170,301568,Annualy,Coupon
171,302683,Annualy,Log in-Homepage-Log in-Homepage-Log in-Homepage-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
172,302942,Annualy,Log in-Resource center-Pricing-Coupon
173,303408,Monthly,Sign up-Courses-Sign up-Checkout
174,305004,Annualy,Log in-Career tracks-Log in-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Course certificate-Career track certificate-Course certificate-Courses-Course certificate-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Course certificate-Pricing-Course certificate-Homepage-Course certificate-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Career track certificate-Career tracks-Career track certificate-Course certificate-Career track certificate-Course certificate-Career track certificate-Course certificate-Career track certificate-Courses-Career track certificate-Courses-Homepage-Courses-Log in-Homepage-Log in-Checkout
175,305785,Annualy,Courses-Pricing-Coupon
176,305842,Monthly,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Other-Log in-Checkout-Log in-Other-Log in-Checkout
177,306397,Annualy,Resource center-Other-Coupon-Homepage-Courses-Coupon
178,306406,Annualy,Coupon
